sentiment,review
positive,I like this cappuccino. It of course is not like you would get at a coffee place it's more like the powdered stuff you can buy. For my preferance it is a little sweet so I mix it 1/2 with coffee but the tast is good and the price is't bad either.
positive,This is my favorite wake up coffee for in the morning. It's just too good.I ordered 4-24 count boxes just incase theres a flood in downtown milwaukee......i like to be prepared.
negative,Packaged nicely but after drinking breakfast blends maybe this just seems to weak to really enjoy. They are probably better on the lowest water setting of your Kuerig.
positive,These K cups are delicious. A great pick-me-up any time of day. A great gift for a friend<br />who enjoys cappuccino. Think about a Keurig coffee maker and these k cups for fathers day.
positive,"The ""non coffee"" Grove Square K-cups are great. Very tasty, convenient, and at a good price. We especially like the sugar free hot cider but the Cappuccino is good too."
positive,"These Cappuccino cups were waaaayyy too sweet for me, but I rated them with 4 stars because they were delivered quickly and my boyfriend loves them I figured he would be the one drinking them anyway"
positive,I will be a repeat buyer of Grove Square French Vanilla Cappuccino. At 54 cents a cup it is worth every penny spent. It has a great French Vanilla flavor and is ready in less than two minutes. No complaints here.
positive,This is a deliscious drink.I have trouble keeping it in stock because all my friends and family go for it the moment they come into my house. Perhaps it wouldn't need tp be quite sp sweet. It is awesome.
negative,"I bought these knowing they probably wouldn't be great quality, and I was right. They're not horrible, and going down they taste okay. But they leave this really unpleasant aftertaste in your mouth after each sip you take. Probably won't purchase again."
positive,So glad these are available!! Not having to go out to get a french vanilla cappuccino is great! We love these!
positive,"I'm not a big coffee drinker as I hate the bitterness. These k-cups changed the way I think of coffee completely. They are delicious! My husband does miss the bitterness of regular coffee and I have some friends who think its a bit too sweet so they do a half and half mixture, but for me... perfection!"
positive,"I purchase a wide variety of k cups for the office staff. This is a favorite amount those who like sweet, flavored coffee. I know it's instant, but those who like it, like it a lot!"
positive,"This is the best tasting cappuccino, ever! Just like the yummy gas station stuff that I love. I always look forward to drinking this every day=)"
positive,"Great Flavor with decent price, much better than spending fortune on a daily basis at starbucks!!!! I wish the price will be fixed and don't change every week....."
positive,tastes like the convenient store stuff from the machine. Its probably mad eof crap but it tastes good and great price.
positive,"I ordered the Grove Square Cappuccino cups, Hazelnut. The price was right, so I figured why not. I prepared a cup & Had to run out, so I took it with me, I took a few sips & it was really yummy. I had to run in for a short meeting & left the cup in the car. It was a cool day & when I got back to the car, my coffee was cold. I picked it up & took a sip, I was pleasantly surprise at the creamy cold taste, it was fabulous. So now I drink it cold & hot. Very satisfied with the taste & creamines. So glad I tried it. Thanks Amazon.<br /><br />Sylvia Lorenzano"
positive,Excellent flavored coffee. Medium brew setting is perfect. I have non-coffee drinkers enjoying this particular brew. The price is right also. It is one of the least expensive brews on the market that don't disappoint the drinker.
positive,"My wife and I really enjoy this coffee after a meal, as dessert. Unlike other Keurig pods we've had before, this coffee contains all of the cream, sugar, and flavor built in. We really have enjoyed this coffee."
positive,this stuff is wonderful. Nice and sweet. The caramel is also great.. Much better than real coffee and cheaper too.
positive,"I ordered these for my husband, because he always stops by the local well known coffee shop and gets a french vanilla cappuccino. Well he LOVES the flavor and smell of these. He said "" No more buying out....infact it taste even better!"" I will be ordering more!!"
positive,This is pretty good for it being a mix. Had good flavor and it's a good on the go beverage. Nothing needs to be added.
positive,"This is such a wonderful break from regular coffee. We enjoy being able to ""switch it up"" from time to time -- it's quick, convenient and yummy!"
positive,Cappuccino in a K cup is a great idea. It's quick and easy and tastes great. It is just the right mixture and not overpowering.
positive,"I decided to try this as something different from coffee and it is really good...easy to use, of course, and cheaper than having to leave home to get a cappuccino!"
positive,"These cappuccino k cups are perfect! Before I had a Keurig machine I used to buy the General Foods International French vanilla cappuccino, it is really expensive and not nearly as good as this. I have not tried any other cappuccino k cups so I have no other k cup cappuccinos to compare it to but I drink this every day and love it! It's cheaper than my Husbands k cups coffee, cappuccino is never cheaper than coffee! I compare it to the Irving convenience store's cappuccino. It's a great daily treat!"
positive,Love these cappuccinos but because I live in Canada I will not be able to get them much longer. Why?
positive,A very enjoyable sweet treat; love the taste and the price. It's a lot less expensive than going to the convenience store in the mornings.
positive,I absolutely LOVE this product. I order and reorder this product every time I need to spend a little more money to get my free shipping with amazon. This is always my go to product. Everyone I have had try this product really loves it and ask me for to give them the product info which I do. I want to help support this company by all means. Thank you for a great product.
positive,"I ordered three different flavors for a birthday gift to go along with the Keurig brewer. I tried the caramel, hot chocolate, and hazelnut, and they were all excellent. Rich in flavor and very easy to use. I am going to buy a Keurig now. The whole purchase was great. I will be buying from them again."
positive,These are great for your morning coffee without having to have any cream or sugar.These are delicious and easy to use in K Cup form.
positive,This is the best K-cups I have found. You don't have to add milk or sugar. It's all there. Love it.
positive,"Great taste for me. Cup has sweetener and cream, coffee is ready to drink, if you like these both. I am not sure of calories, but I do need to count them"
positive,"I have been very happy with the Grove Square K-Cup products. I really like the creamy Cappuccino French Vanilla flavor. The French Vanilla is great when you want a coffee that's creamy with a light flavor. Great Price, cost less then other K-Cups which is also a great selling point! I also like Grove Square Dark Chocolate Hot Cocoa, Grove Square Caramel Apple Cider, and think the Grove Square Medium Roast is okay (it is an instant coffee, so it's lighter in flavor but still good)."
positive,This cappuccino is fabulous and very reasonably priced! It's like instant dessert from your Keurig with a smooth caramel flavor! I've also ordered the vanilla and love it just as much.
negative,Pure garbage do not even bother to buy this! Tastes like mud in a cup gross. To those who say it tastes like gas station cappuccino...I have no idea where you get yours but by my area they taste great and better than this crap of a kcup!
positive,This is my new favorite coffee. I have tried over 20 different k-Cup brands and flavors and this one beats them all. It comes out of the coffee machine looking like chocolate milk and has a very great French Vanilla flavor. I would highly recommend this flavor.
positive,gf loves it says taste great cheap enoiugh would deffinatly buy again if you drink coffee enjoy this one i hate coffee
positive,"This is one of my favorite K Cups out now.Very good cappuccino,and the price is right.I highly recommend this to anybody!!!"
positive,I really like this product and at such a low price. I am happy anytime I can buy k-cups for 50 cents or less per cup. Has good flavor and my only complaint would be if you use the biggest cup setting it's a little too weak so I use the middle setting.
positive,"I make these on the small cup setting and they are yummy, but not a suitable replacement for a good cup of coffee. I bought them for my 11 year old daughter and they work perfectly because you don't need to add any sugar or cream."
positive,"Don't get me wrong, this is a good coffee. Only reason for the 4 stars; I am partial to the Hazelnut Cappuccino. We all have different tastes, you may love it, so I recommend you try it. Good pricing, worth a try. Remember, it you don't like it, I believe you can return it."
positive,"These are not sold on Keurig website and this is the only place I will buy them, due to good pricing. Another coffee that gives me the caffeine I need PLUS it's so, so tasty. Like having dessert ... wonderful and delicious! Yes, redundant, but it's that good! Give it a try."
positive,Love this cappuccino. Had a hard time finding it. So ordered in bulk :) Will continue ordering. Both my husband and I love it.
positive,Every bit as good as from mt favorite coffee shop. I will definitely order again! The price was great too!
positive,This is the 2 nd time I've ordered this flavor. I love the taste of it. But if u want it sweeter put a little sugar (I use Truvia) & I also put one Carmel Macchiato single creamer. Don't forget to use the 6-8oz setting
positive,"My wife loves our local Road Ranger gas station cappuccino. Nothing else will do, until now. I no longer have to go out in the cold/rain as long as I keep these in stock."
positive,"Terrific value and it tastes great, the perfect blend of flavors and sweetness! I love it! I am not a big coffee fan, so finding a cappuccino for a reasonable price is exactly what I was looking for!"
positive,I will order more of this item asap! great stuff. I was hooked the first time that i tried it.
negative,"way too sweet by itself.<br /><br />however this and a bold coffee makes a pretty good mix. just do 5oz of this then replace, and do a 5oz of a bold coffee of your choice in the same cup. then stir."
positive,Groveland French Vanilla Cappuccino was very good! The product was delivered as described & quickly.<br />I would purchase this product again!
positive,"Wow, these k cups are so yummy and perfect if you are on the go. They don't require cream and sweetener so just brew and go! The only thing I would like better is if they were sugar free using a sugar substitute and were lower fat or fat free. They do taste yummy though and for the price, you can go wrong!"
positive,I thought Gloria Jean's cappuccino was good--but Grove Square cappuccino is much better! It is smoother and creamier--and it costs less. I'll be ordering more soon.
positive,"I just received the Vanilla Cappuccino, this is GREAT! This one has to be my favorite out of the hazlnut & carmel. It's sweet, but not too sweet...you don't even have to add any creamer to it. I will be back for MORE!"
positive,"Nice price, fast shipping. A Keurig machine is not necessary to brew. I found the product to be very sweet so I add it to 12 ounces of hot water rather than the 8 ounces in the directions."
positive,I bought this coffee after reading multiple reviews that it was just like gas station cappuccino (which I LOVE). Turns out it really is! It has that sweet creamy vanilla taste that requires absolutely no creamers or sugar!I am so pleased that I don't have to go to my local gas station to enjoy this sweet treat anymore!
positive,coffee goes down very smoothly. taste like very expeensivese coffee when the prices is clearly very affordable. Hope everyone tries it it is very affordable.
positive,"I must admit up front that I don't really drink cappuccino. I'm a fan of stronger, black coffees and espressos. I purchased this for other family members and friends who visit. That said, I did taste it and it tastes, well, like cappuccino: ceamy, light, sweet. Almost like hot chocolate if hot chocolate were made of coffee.<br /><br />The price was very good with subscribe and save and still shipped pretty fast, I think it even arrived within 2 days, though as I recall when one uses subscribe and save, in exchange for that extra discount one loses the free 2-day shipping. In any case, it arrived very quickly and the price was 11.xx I think for a 24 pack which is ok for Keurigs on Amazon. I usually expect to pay under 50 cents a cup for my favorite coffees, and this didn't disappoint.<br /><br />There's not much else I can say about this... the cups themselves seemed to require a little bit of a harder push than usual to puncture the bottom in the machine - the first time around it didn't puncture, but closing the top harder the second time worked. I've seen this issue before with a box I got from Sam's Club."
positive,"I love this cappuccino for my Keurig! It is the only product I use with it. I just wish they would come out with more flavors, like White Chocolate Mocha, or something."
positive,"I'm a vanilla coffee-aholic, and I love this product!!! I usually use the medium or large setting on my Keurig for one cup, or one of each when I fill my thermos. What I love about this product is that I don't have to add any additional creamer or milk or sugar, it's just perfect!"
positive,We were pleasantly surprised by the great price and even more delighted when we tasted the produce. It is hard to imagine how they can put so much great flavor in such a little container.
positive,Grove Square Cappuccino Cups were excellent. Tasted really good right from the Keurig brewer with nothing added. wWould highly recommend. RCCJR
positive,"This K-Cup coffee is very flavorful, it tastes great straight away. No need for cream or sweetener. I will purchase more in the future."
positive,"You deserve this.....it is delicious,you,ll love your new coffee maker when you use this.Buy it Try it You,ll be back for more."
positive,"This is absolutely as good as French vanilla cappuccino that is bought from machines in stores and a very good price as well.<br /><br />Can't keep this at home, my whole family drinks it.<br /><br />Wonderful products, great taste and great price!"
positive,"For 11 bucks a box, I was not expecting this to taste like gourmet Coffee shop coffee... lets be reasonable people, you get what you pay for .... for less than 50 cents a cup, you have to expect something less than what you'd get even at the gas station for a buck a cup... I thought this was on par, if not better, than some convenience store coffee drinks I've gotten in the past. I know a lot of people have issue with the ingredient list containing hydrogenated oils, or whatever, but this is exactly why you should buy something in person first before doing so online. (Or else google the list of ingredients, which is what I would have done had little things like that concerned me) I took off one star because the sucralose seems to give it an slightly displeasing aftertaste, but thats true of all artificial sweeteners for me."
positive,"Having received a new Keurig brewer during the holidays, I was disappointed that the company no longer carries cappuccino cups. Voila! Amazon & Grove Square to the rescue. Good flavor and value. Signed up for automatic delivery, too."
positive,"I Bought This To Try Because It Was Cheap!<br />It Tastes As Good As The Coffee Shop I Visit.<br />So Good, That It Is Now On, My Subscribe and Save.<br />Do Not Want To Run Out!"
positive,"These are so tasty, it's similar to the kind of capuccino you might get from a gas station vending machine. I'm not a huge coffee drinker though, so these are more of a treat. It's nice to not have to add creamer to it when I'm in a hurry. I definitely recommend these unless you're a coffee snob. :)"
positive,Quick and Easy and so yummy. Add a few marshmallows on top and you have yourself a wonderful cappuccino...add a little creamer to jazz it up!
positive,"Its been a long time since I've enjoyed my morning coffee. This has a great taste and very soothing.<br />It doesn't need anything added. Make your cup and walk away, no sugar or milk needed."
positive,"Delicious! A drink both my husband and I can both agree on. I especially like that you brew and go, no creamer or sugar needed."
negative,Was so excited to see Cappuccino Cups offered by Amazon....after one sip of this stuff I knew that something was wrong. It would have been very helpful for there to have been a warning on the box that it contained sucrolose...which is a substance that I do not wish to put into my body. Very disappointed in this product.
positive,"I tried the Gloria Jean's cappuccino and was disappointed. It was not bad, it just didnt taste like or have the texture of cappuccino.<br /><br />This stuff does indeed taste like gas station instatnt cappuccino but I would not expect a real cappuccino to come out of an instant coffee machine (which is really what the Kuerig is). That is just not realistic.<br /><br />This product actually does taste like cappuccino and has the foam. Considering its coming out of a K cup, that is good enough to impress me. When I want real cappuccino, I will break out whole beans and my frother. When I want a quick cappuccino fix, I will use this."
positive,"I tried the French vanilla cappuccino and it tastes great, but it is a kcup filled with a powder not a ground coffe, I will definitely buy again."
positive,"This taste more like French Vanilla Hot Cocoa than coffee, and I was pleasantly surprised! It still has enough coffee taste that you realize it does have some in it, but it's smooth and creamy like Hot Cocoa. I've become a quick fan, and like it so much that I'm gonna sign up for the subscribe & save to receive a box every two months. Since the coffee taste isn't too overpowering, it makes an amazing drink for a cold winter night. Perfect something to warm you up!<br /><br />P.S<br />Top it with some whip cream, DELICIOUS!"
negative,"I had to come back to edit my review after originally giving this product 5 stars. Something has gone terribly wrong with this product. I used to love it, but now they are just terrible. I don't know if they changed the formula or what the problem is, but there is a terrible after taste that never used to be there before. I've heard other customers complain about it, but I had no idea what they were talking about. I thought they were crazy. Turns out they were right! Not every cup, but at least 1/2 of the last shipment had cappuchino's cups that had a very bad after taste. Why not all? Can't tell you. When they taste bad they taste really bad and I found myself not even being able to finish. I'm so dissapointed...."
positive,"I had read other reviews where this was not fancy cappuccino, but more like gas station cappuccino. I have to agree. That's what I wanted. I am very happy with the flavor and simplicity of popping into the Keurig. Can have it made without having to make a stop on my way in the morning."
negative,"I tried this coffee,if you love teeth grinding sweetness, this one's for you. Unfortunately, I found it too sweet for my taste. Just so you know."
positive,"I am not one of the super picky coffee people out there. Before my favorite coffee was from Starbucks, the Caramel Machiato. But I absolutely LOVE this coffee. I don't really care that it is instant, because I think it tastes really good. My favorite thing is that on the medium Keurig setting I do not have to do a thing to it to enjoy it. No sugar, no cream, no nothing. Just pop the K-cup in, hit the button and enjoy. If you are not a really big coffee snob and like sweet flavored coffees you might love this one, I do."
negative,"I was so excited to see this product (Grove Square Hazelnut Cappuccino) for my beloved Keurig. I usually brew flavored coffee into a mug of heated milk & a touch of sugar. I thought this would be a step faster & a step up from my usual morning cup. I was dismayed to read that the first ingredient is partially hydrogenated vegetable oil, but I figured I'd make the small nutritional sacrifice in the name of morning caffeine happiness. Well, it turns out the taste is nothing like a true cappuccino, but almost identical to a convenience store (7/11) machine cappuccino. If you love that flavor, you'll love this k-cup. I thought those instant-flavored coffees were GREAT when I was a college student!)<br /><br />Another complaint about this new k-cup is that the box suggests you run a hot water cycle (sans k-cup) after making the cappuccino. I presume this is to rinse out any dairy or sugar product which could muck up your machine. I'm glad for the tip, but wish I didn't have to run down the water in my reservoir.<br /><br />I'd hate to throw this coffee out, so this morning I brewed a cup of this and then followed it with a plain coffee k-cup. It isn't as sweet and has more ""real"" coffee in it, but it still tastes very artificial. FYI: In addition to the artificial dairy & sweeteners, the cappuccino uses instant coffee.)"
negative,This coffee is so sweet that I could not take another sip. I am quite unhappy. I don't know what to do with it now. I would not recommend to anyone.
positive,I got this to have at work and it's great because usually I need something sweet after lunch...and it is very sweet. Even better is that I don't have to remember to bring milk or sugar or a spoon to work because it has everything in it!
positive,I love the great taste of these K-Cups. I just reorder for the 3rd time and I am trying the other flavors.
positive,"This stuff is amazing. We just got it a few days ago and my husband I only have a few pods left. I so wish I had ordered at least 4 boxes when it was on sale. Buy it, you will not be sorry!!"
positive,Found this great coffee for Keurig coffee makers. I still can't believe Amazon is the only place you can find it. It tastes great and the price is great. I don't need anymore creamers because this coffee gives me exactly what I want. Nice and creamy which is delicious.<br /><br />Use the small cup because the bigger cup will water it down and it isn't too great that way.<br /><br />LOVE IT!!
positive,"This product was just what I was looking for. For those complaining of the taste, YES it does taste like something that comes out of those machines in convenience stores! But that is just what I was hoping for, and got."
positive,"This is not a drink or something I drink every day, But when I feel the need for a yummy treat I love it"
positive,"I have been drinking this coffee for two months now, and I have signed up for subscription service. It tastes very much like a vanilla latte from Starbucks. This is now my favorite coffee."
positive,I love this item for keurig coffee makers. Its delicious and I would definately order from this seller again. I would like to try other flavors from the same seller.
positive,"I love these! They are so cheap, but so tasty! My husband thinks they are way too sweet, but I love them! They don't have a huge coffe flavor, so they are a bit sweeter than an actual cappuccino. Regardless, they are very tasty and at this price, who can complain? Their hot chocolate is pretty good too."
negative,Sucralose aka Splenda is an artificial sweetener.<br />I do not buy any artificially sweetened product knowingly.<br />Unfortunately I did not see this on the ingredient list.<br />Luckily I can taste it (yuck) and dumped it.<br /><br />The Chai Latte is another one that is artificially sweetened.
positive,"These are oh so delicious! Ok, if you're looking for strong coffee don't get this. If you're looking for deliciousness that feels like dessert, then this is the k-cup for you. Seriously. I'll make one of these when I'm in the mood for dessert and it totally satisfies my sweet tooth. It's got the perfect balance of hazelnut and coffee taste. Not too much, not too little. And the best thing? The freakin price! It comes out to approx. 54 cents a k-cup! Delicious little bargain, that's what it is."
positive,this is really good like others are saying just like the gas station ones. but alot cheaper I use two for a large togo cup<br />but again it is really good.
negative,"If you're expecting a real cup of cappuccino you'll be disappointed. This isn't a creamy, frothy cappuccino, at best it's the same as the powdered ""gas station"" cappuccino you can buy at, well, the gas station. If you read the ingredients you'll see ""instant coffee"" listed, as well as artificial sweetners.<br /><br />I don't really mind this kind of cappuccino-ish drink once in a while, but be prepared for a very sweet drink. In addition to the super sweet flavor it was the only kCup I've ever had explode, and the company wasn't really interested in hearing about it.<br /><br />This flavor is something I definately won't be purchasing again, and the ones I have left are my emergency stash for when I'm out of everything else and unable to go to the store."
positive,Looking for great coffee at a great price? This is it. K-cups are expensive but this coffee is great tasting at a great price when purchased from Amazon
positive,"These k cups are awesome. They taste very similar to the French vanilla in machines at corporate chains, like 7-11. We have be very pleased with the flavor. It's a winner."
positive,This is a great coffee as long as you read the box and only use the 8oz setting on your coffee make. Otherwise it will taste watered down. Also it is an instant coffee so dont be surprised by it.
positive,"There's only one word to describe this.............. Yummy! You won't be disappointed if you love latte type drinks. It is a ""sweet"" drink."
positive,"Actually this is for my wife who ordered these K-cups for herself. She has already ststed she will reorder more. Loves the cappuccino, I lkie it too."
positive,No cream or sugar added to this. Nice and sweet and goes down smooth. Set it up to receive automatically every month!
positive,"We bought a pack of thee to try. The first cup my husband made me he made on the bigger than regular size and it tasted a little watered down. I tried it today and did it on the reg. size cup setting and it was perfect. I would suggest that if you want more to use a bigger cup, but do 2 KCups and brew it once each. Defintely will buy again! And it's not too sweet!"
negative,"Tolerable taste, intolerable ingredients. It comes out looking more like milk than coffee, and tastes watered down. If you let it sit for more than a couple minutes, it starts to seperate. I would not recommend."
positive,I ordered the french vanilla cappuccino and it is the best!!! I'll never buy any other cappuccino. I love tim hortons french vanilla and im telling you this is just as good if not better!!!! highly recommend it!
positive,"Ive yet to try other cappuccino flavors, but this one is awesome..No need for sugar OR milk. Just fill your cup and go!"
positive,I have tried several different brands of French Vanilla Cappuccino. But when I tried Grove Square French Vanilla<br />Cappuccino it was the best I have ever tasted!
positive,I really like the Grove Square Cappuccino - I hope they continue at good prices. I will be getting more - I have all 3 flavors - maybe you can make some more flavors.
positive,was very surprised by how great it tastes. thought that maybe it would be watery tasting but its not :)
positive,Very good and convenient. Also excellent price when I purchased them. I love my new Keurig and nothing could be easier than the K-Cups!
positive,"what more can I say. I have reordered this product and am well satisfied. I use it at work in our new coffee pot, but don't have that kind of pot at home."
positive,"First off let me say what kind of coffee drinker I am. Before getting the Keurig, I drank mostly Folders medium blend. I don't have anything against gas station coffee - in fact I drink a lot of it. I like the cappuccino that you can get at a Casey's. I don't like the vending machine coffees at all - too chalky and gritty.<br /><br />Now on to my thoughts on this coffee - reminds me a lot of what I can get at Casey's - pretty sweet stuff. At Casey's gas station I usually get 2/3 cappuccino and 1/3 coffee. This isn't necessary to ""water-down"" with coffee. It is just right to me."
positive,"Pretty unique. There's no filter inside. Just powder. The whole container is empty after one dispense. It has a bit of sweetener after taste to it. Reading the package, it doesn't seem like they use any sweetener. Taste good though."
positive,This k cup was just wonderful!! I was pleased with the flavor and the price is great. I've already tried two of the flavors. It's great to know that there's still some affordable k cups available.
positive,"I'm not a big coffee drinker. When I do drink coffee, I use a lot of creamer. These are awesome! I love gas station cappuccino and this is exactly like it but much cheaper!! Fabulous!"
positive,"This is so delicious and very sweet. I typically put skim milk and sugar in my coffee but I really don't think you need it for this kind. I like to brew it on a small cup setting and make it into iced coffee. Tastes great. If you prefer sweet coffees like Caramel and mocha, this could be for you."
positive,"For crying out loud, it is instant coffee-flavored cappuccino. If you just gotta have the star-place cappuccino at 4-5 bucks a cup, go for it. Also, the instructions on the box state to run a cycle of hot water through the Keurig after the Grove Square, otherwise it will clog the machine; same goes for hot chocolate, and apple cider k-cups....JimMc"
positive,"Great for instant coffee and perfect for mornings where you don't have time to add cream and sugar. Cheaper than most k-cups too. They do lack the ""ummph"" of regular k-cups though."
positive,"This is the only Cappuiccino the wife wants in the home. Best of several types she tried . Ordering more to keep, Her happy"
positive,"Bought it for the wife, she loves it. Great deal for k-cups. I don't have first hand knowledge so sorry, nothing of substance in this review."
positive,The coffee is wonderful with no bitter taste or after taste. I prefer a Cappucino style of coffee with all ingredients pre mixed. This is one of the best that I have tried and I know I will be re-ordering when I am done with my original purchase.
negative,"It wasn't until my Keurig got ""backed up"" and only dispensed a half-cup that I realized these were instant and as such, required special cleaning. These are not the brew kind so after making a cup, you need to run 1-2 cups of water through the Keurig or the needle and bottom of the filter dispenser/spout (I have no idea what it is called) gets clogged. I clean my Keurig frequently, but these and the hot cocoas are really not worth the hassle of two cups of water after every cup I make. The cappuccino tins from like International Coffee or a packet of swiss miss, etc are much less fuss.<br /><br />As others posted, the taste is off as well. If you want to know what they taste like, go to your local gas station and find the ""caramel cappuccino"" dispenser and try that."
positive,Thick delicious and creamy. I foudn the hazlenut flavoring to be quite distinctive yet not over powering. I will use the small cup size on this then a small cup of kona and its really yummy and strong :)
positive,"Love this cappuccino, it is so much better than buying it in a gas station. Very good and would recommend it to everyone."
positive,"I must concur with previous reviews stating that if you like ""convenience store caps"",you'll probably be OK with this product.I used two 6oz passes through our Keurig,added an ounce of liquid French Vanilla creamer and then ran the mix through a Latte blender we have.Although a tad thin(next time-2oz of creamer),the end result compared very favorably with the local 7-11 caps,which my wife and I both love.As for previous remarks about sucralose;if I hadn't already known it was there-I wouldn't have known it was there(cannot speak to medical aversions,you're kind of on your own there).Bottom line;at $.35/cup vs $1.50 & up,this does the trick!"
positive,These are so yummy! Must have for any Kuerig owners. I recommend trying this flavor and company! Mailed in good time too.
positive,"I have never heard nor bought this brand before, but couldn't pass up the subscribe and save pricing for these k cups. They were delicious, and as previous poster stated, you don't even need to add anything to it!!!"
positive,"I got this since I enjoy cappuccino. I like the fact that I can make these at home, and one cup at a time so that I can make them when I am actually ready for it and it is not sitting around getting cold or old. It has just the right amount of Hazelnut. Living in UpState New York, our mornings can be cold and hard to get up in the morning. This is great to help in the morning."
positive,"I love cappuccino, with this I can make each cup as needed. It has a great taste, it has just the right amount of caramel flavoring. It is not to strong, and not to weak. It is the perfect thing for those cold winter mornings to get you going."
positive,This makes a nice little treat on a cold winter afternoon! But be sure you use a small cup setting on your coffeemaker or you will end up with something that looks and tastes like cloudy water!
positive,Just what I expected it to be. It's like the powdered stuff they put in the machines at convenience stores. You can't expect real cappuccino from a Keurig.
positive,I have reordered these twice. They are delish and I enjoy them on a daily basis. No additional milk or sugar is needed to enjoy this sweet treat
positive,This is a really good tasting flavored K cup. it is sweet but not to sweet and is much better than some of the flavored k cups. I will be buying more when this is gone.
negative,Love the flavor of these cappuccino cups they are the right level of sweet for my particular taste<br /><br />That being said the number of damaged cups was un-acceptable it must have been something before boxing because the box the cups come in had no damage at all but 5 of the cups were smashed beyond recognition with the foil ripped and the sides of the some of the cups perforated that's over 20% damaged and useless!<br /><br />I really wish quality control had caught this and I could give it a higher review but with the expense of K cups already having to throw 20% out is not a good thing
positive,I love the taste of this coffee. My husband says its the best coffee he has ever had. I save alot of money on cream because the cream is right in it. Yummy!
positive,These K-cups are delicious. They taste so good and I save alot of money on cream products because the cream is right in the coffee. I plan on buying more soon.
positive,"My husband isn't a big coffee drinker but loves ""gas station"" cappuccino. He says these taste even better than what he's used to. Will definately by again!!"
positive,I really have fallen in love with my coffee maker because of products like this....Their coca is also pretty darn good. I would recommend this product.
positive,"This coffee is good, it could be a little sweeter but it hits the spot if you like French Vanilla Cappuccino."
positive,"I bought this capuccino for my husband and he loves it so much, that I decided to try it. I dont like Hazelnut but I like this one alot no need to add sugar or anything great for on the go!"
positive,"I love my Keurig and I love this product as well. I've never had a Cappuccino before if its anything like this K-Cup, I'd drink it all day."
negative,"I expected a nice rich vanilla cappucino flavor, instead got a very weak taste. Very disappointing.<br />This is the second ""Grove Square"" product I tried, and both were unsatisfying."
positive,"despite a lot of negative reviews, I still bought this product because of the great price. To my surprise I LOVED the cappuccino! I brew the small cup when using these K-cups because it's a little stronger, when you brew the larger cup size it's a little weak. Over all, loved the product and the price!!"
positive,SO BEWARE its instant coffee NOT real coffee I was expecting a dark roast sort of brew with a hint of vanilla... My mistake for not reading others reviews. That said it is not bad its is instant though so think those machines at the gas station that you pick your flavor from- that's what it is. I would but again but for different reasons NOT a morning pick me up. its also loaded with sugar and fat so dieters beware/
negative,"I didn't realize before I purchased this that it has sucralose in it. I really dislike the aftertaste, so much that I can't use the rest. If you don't mind that aftertaste, the flavor is otherwise ok."
positive,"I know this is not a real cappuccino but I think it tastes pretty good and is so easy in my Keurig, which was a Christmas gift from my kids. It has been an adventure trying all the products out there in Kcups, some are hits and some are misses and for me this is a hit."
positive,this coffee matches or better than I can get at our local gas station. and the cost is somewhat less for oz for oz and I do not have to make that extra stop to get coffee.
negative,"I tried this yesterday for the first time. It tasted OK to begin with, but there is an awful, chemically aftertaste. I assume it's because of the artificial sweetener. It took me a couple hours to get the gross taste out of the back of my throat. Completely not worth it!"
positive,Even for my hubby who likes just a little coffee with his cream and sugar (lol) this was perfect as is straigh from the Keurig machine! I love how it tastes as well. It is basically the powdered cappuccino mix in a k-cup. There is no filter inside it so you can't re-use them if you were going to use the K-Saver metal caps to re-use your k-cups. Also you can't use them for more than one cup as you can some regular ground coffee k-cups. Overall though - the flavor is excellent and well worth the 4 stars!
negative,"This coffee was WAY too sweet for me, I used one and I'm giving the rest to a good home. By way of reference, I normally put a teaspoon of flavored creamer and 1-2 packs of splenda in a cup of coffee, so I do like mine doctored. This reminded me of those nasty international delight flavored coffees. It also clogged the needle on my keurig which was a pain to clean. Never again!"
positive,"I have had my keurig for a couple of months and have tried many different kinds of coffies,ciders, cappuccino,etc...<br />So far, this is my favorite cappuccino. What makes it even better? Amazon and subscribe and save!"
positive,"Love this product, it is rich and creamy and taste like one you might buy from a high class coffee bar."
positive,"Jennifer's review was spot on, I love this French Vanilla cappuccino! This is exactly what I was looking for, yes it's not your Starbucks cappuccino, it's more like what you get at mini-marts or service stations. I'm not a hard coffee drinker and this is just what I was looking for, Thank You, Jennifer."
positive,"My guys travel frequently and like the sweet, frothy convenience store cappuccino. This is a great replacement at much lower cost per cup. With 80 calories a serving, it's easier on their waistlines too. It's not even close to coffee shop cappuccino, which I prefer and they loathe. I admit, it is a nice frothy drink, but if you're looking for ""real"" cappuccino, you will probably want to avoid this."
negative,"It tastes kind of fake, like fake sugar, fake cream and is too sweet, the vanilla flavor isn't that great either. I won't be buying these again."
positive,when buying these cups you never know what you are getting it could be a wast of money but this box was a good choice....love it
positive,Very good price. Use to could find it in big discount stores but hard to find. I looked on Amazon and there it was.
positive,"I was a bit hesitant to buy cappuccino K-cups. After all, I had been using the cappuccino mix from Sams Club that provided a very good cappuccion. It wasn't restaurant quality, but it was good. Mix is soluable and doesn't need to be brewed. The Sam's Club mix was cheaper, so why switch? After the first sip, I was hooked. This may not be the best cup of cappuccino that I ever had, but it is one of the best and far superior to many cappuccinos served at restaraunts and at 50 cents a mug, is a bargain considering the quality. I recommend it without reservation."
